session_id,request_signature,timestamp,source_ip_actual,claimed_ip_header,claimed_ip_mode,user_agent,method,path,path_scope,url_original,query_string,body_preview,status_code,rule_ids,rule_names,waf_messages,severities,engine_modes,event_actions,event_outcomes,unique_ids,merged_row_count,raw_row_indexes
tmp-session-441f5b29d1ab,303d82295139ea67,2026-03-19T21:14:42.901000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,,,,,Enabled,detected,success,177398007818.624713,1,179
tmp-session-441f5b29d1ab,c373829633e3a733,2026-03-19T21:15:46.904000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/assets/index-j2Z-vXtK.js,asset,/assets/index-j2Z-vXtK.js,,,304,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398014271.150699,1,177
tmp-session-441f5b29d1ab,73dbf94f10cd8586,2026-03-19T21:15:46.904000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/lms/courses/1,frontend_or_other,/lms/courses/1,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398014279.293625,1,178
tmp-session-441f5b29d1ab,3ca0267beef7669d,2026-03-19T21:15:46.905000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398014222.418338,1,176
tmp-session-441f5b29d1ab,41c4340d1ca0fbdd,2026-03-19T21:15:46.905000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/assets/index-Cl251iS6.css,asset,/assets/index-Cl251iS6.css,,,304,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398014225.116577,1,175
tmp-session-441f5b29d1ab,6a4bc661771dc2cf,2026-03-19T21:16:20.907000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,,,,,Enabled,detected,success,177398017727.380028,1,174
tmp-session-441f5b29d1ab,9bddde97461b8c72,2026-03-19T21:16:34.909000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",POST,/api/auth/login,business,/api/auth/login,,,500,,,,,Enabled,detected,success,177398018930.543338,1,173
tmp-session-f46c82259450,5c3411775ead7784,2026-03-19T21:21:08.915000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,detected,success,177398046374.848796,1,172
tmp-session-f46c82259450,db87378663f10e51,2026-03-19T21:24:32.933000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/?id=%22%20or%20%221%22=%221%22%20--,frontend_or_other,/?id=%22%20or%20%221%22=%221%22%20--,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,177398066378.264869|177398066981.782548,2,165|169
tmp-session-f46c82259450,7564c309fcede0fd,2026-03-19T21:24:32.933000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/favicon.ico,asset,/favicon.ico,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,17739806631.934177|17739806696.793058,2,167|171
tmp-session-f46c82259450,b21eece948f70d2b,2026-03-19T21:24:34.934000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/?id=%22%20or%20%221%22=%221%22%20--,frontend_or_other,/?id=%22%20or%20%221%22=%221%22%20--,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,177398067445.959577,1,160
tmp-session-f46c82259450,171853a0b7543d0a,2026-03-19T21:24:34.934000+00:00,192.168.88.10,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",GET,/favicon.ico,asset,/favicon.ico,,,403,942100,SQL Injection Attack Detected via libinjection,"SQL Injection Attack Detected via libinjection, Inbound Anomaly Score Exceeded (Total Score: 5)","2, 0",Enabled,blocked,failure,177398067436.537965,1,162
