case_id,case_class,expected_waf,query_suffix
allow_fp_001,sqli-doc-union-select,pass,?keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=5
allow_fp_002,sqli-doc-union-select,pass,?keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=6
allow_fp_003,sqli-doc-union-select,pass,?author=student2&keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=6
allow_fp_004,sqli-doc-union-select,pass,?keyword=union%20select%20%EC%98%88%EC%8B%9C&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5
allow_fp_005,sqli-doc-union-all-select,pass,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=5
allow_fp_006,sqli-doc-union-all-select,pass,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=title&page=1&size=6
allow_fp_007,sqli-doc-union-all-select,pass,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=6
allow_fp_008,sqli-doc-union-all-select,pass,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5
allow_fp_009,xss-doc-javascript-scheme,pass,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
allow_fp_010,xss-doc-javascript-scheme,pass,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
allow_fp_011,xss-doc-javascript-scheme,pass,?author=student2&keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=6
allow_fp_012,xss-doc-javascript-scheme,pass,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5
allow_fp_013,xss-doc-script-filtering,pass,?keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&sort=latest&page=0&size=5
allow_fp_014,xss-doc-script-filtering,pass,?keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&sort=title&page=1&size=6
allow_fp_015,xss-doc-script-filtering,pass,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&sort=latest&page=0&size=6
allow_fp_016,xss-doc-script-filtering,pass,?keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5
allow_fp_017,xss-doc-img-onerror,pass,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=5
allow_fp_018,xss-doc-img-onerror,pass,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=title&page=1&size=6
allow_fp_019,xss-doc-img-onerror,pass,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=6
allow_fp_020,xss-doc-img-onerror,pass,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5
