case_id,endpoint_group,path,case_class,before_expected,after_expected,query_suffix
route_fp_001,board_search,/api/board/posts,benign-select,pass,pass,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&page=0&size=6
route_fp_002,board_search,/api/board/posts,benign-select-author,pass,pass,?author=student1&keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=title&page=0&size=6
route_fp_003,board_search,/api/board/posts,xss-javascript-scheme,waf_block,pass,?keyword=javascript%3A%20%EB%A7%81%ED%81%AC%20%EC%A0%95%EC%B1%85&sort=latest&page=0&size=6
route_fp_004,board_search,/api/board/posts,xss-javascript-scheme,waf_block,pass,?keyword=javascript%3A%20%EB%A7%81%ED%81%AC%20%EC%A0%95%EC%B1%85&sort=title&page=1&size=6
route_fp_005,board_search,/api/board/posts,xss-javascript-scheme,waf_block,pass,?keyword=javascript%3A%20%EB%A7%81%ED%81%AC%20%EC%A0%95%EC%B1%85&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=6
route_fp_006,board_search,/api/board/posts,benign-union-word,pass,pass,?keyword=union%20of%20student%20clubs&sort=latest&page=0&size=6
route_fp_007,board_search,/api/board/posts,benign-script-word,pass,pass,?keyword=script%20%ED%83%9C%EA%B7%B8%20%EC%84%A4%EB%AA%85&sort=title&page=0&size=6
route_fp_008,board_search,/api/board/posts,benign-query-string,pass,pass,?keyword=query%20string%20%EC%95%88%EB%82%B4&sort=latest&page=0&size=6
route_fp_009,board_search,/api/board/posts,benign-sqli-report,pass,pass,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=SQL%20injection%20%EB%B3%B4%EA%B3%A0%EC%84%9C&sort=latest&page=0&size=6
route_fp_010,board_search,/api/board/posts,xss-javascript-scheme,waf_block,pass,?author=student2&keyword=javascript%3A%20%ED%81%B4%EB%9E%98%EC%8A%A4%20%EC%95%88%EB%82%B4&sort=latest&page=0&size=6
route_fp_011,announcement_search,/api/public/announcements,benign-select,pass,pass,?keyword=select%20%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD%20%EA%B3%B5%EC%A7%80&sort=latest&page=0&size=10
route_fp_012,announcement_search,/api/public/announcements,benign-select-dates,pass,pass,?keyword=select%20%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD%20%EA%B3%B5%EC%A7%80&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=10
route_fp_013,announcement_search,/api/public/announcements,xss-javascript-scheme,waf_block,pass,?keyword=javascript%3A%20%EB%A7%81%ED%81%AC%20%EC%95%88%EB%82%B4&sort=latest&page=0&size=10
route_fp_014,announcement_search,/api/public/announcements,xss-javascript-scheme,waf_block,pass,?keyword=javascript%3A%20%EB%A7%81%ED%81%AC%20%EC%95%88%EB%82%B4&sort=title&page=1&size=10
route_fp_015,announcement_search,/api/public/announcements,xss-javascript-scheme,waf_block,pass,?keyword=javascript%3A%20%EB%A7%81%ED%81%AC%20%EC%95%88%EB%82%B4&dateFrom=2026-01-01&dateTo=2026-12-31&sort=latest&page=0&size=10
route_fp_016,announcement_search,/api/public/announcements,benign-script-word,pass,pass,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%8A%B9%EA%B0%95&sort=latest&page=0&size=10
route_fp_017,announcement_search,/api/public/announcements,benign-query-string,pass,pass,?keyword=query%20string%20%EC%95%88%EB%82%B4&sort=title&page=0&size=10
route_fp_018,announcement_search,/api/public/announcements,benign-union-word,pass,pass,?keyword=union%20of%20student%20clubs&sort=latest&page=0&size=10
route_fp_019,announcement_search,/api/public/announcements,benign-sqli-report,pass,pass,?keyword=SQL%20injection%20%EB%8C%80%EC%9D%91%20%EA%B5%90%EC%9C%A1&sort=latest&page=0&size=10
route_fp_020,announcement_search,/api/public/announcements,xss-javascript-scheme,waf_block,pass,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%A0%95%EC%B1%85&sort=latest&page=0&size=10
