case_id,case_class,query_suffix
board_search_exp_001,normal,?keyword=wifi&sort=title&page=1&size=6
board_search_exp_002,normal,?keyword=%EB%8F%84%EC%84%9C%EA%B4%80%20%EC%9A%B4%EC%98%81%EC%8B%9C%EA%B0%84&sort=oldest&page=2&size=7
board_search_exp_003,normal,?keyword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC%20%EC%A0%90%EA%B2%80&sort=latest&page=0&size=8
board_search_exp_004,normal,?keyword=%EA%B8%B0%EC%88%99%EC%82%AC%20%EC%B6%9C%EC%9E%85&sort=title&page=1&size=5
board_search_exp_005,normal,?keyword=%EC%9E%A5%ED%95%99%EA%B8%88%20%EC%8B%A0%EC%B2%AD&sort=oldest&page=2&size=6
board_search_exp_006,normal,?keyword=%EA%B0%95%EC%9D%98%EC%8B%A4%20%EB%83%89%EB%82%9C%EB%B0%A9&sort=latest&page=0&size=7
board_search_exp_007,normal,?keyword=%EC%88%98%EA%B0%95%EC%A0%95%EC%A0%95&sort=title&page=1&size=8
board_search_exp_008,normal,?keyword=%ED%9C%B4%ED%95%99%20%EC%8B%A0%EC%B2%AD&sort=oldest&page=2&size=5
board_search_exp_009,normal,?keyword=%EB%B3%B5%ED%95%99%20%EC%A0%88%EC%B0%A8&sort=latest&page=0&size=6
board_search_exp_010,normal,?keyword=%EB%8F%99%EC%95%84%EB%A6%AC%20%EB%B0%95%EB%9E%8C%ED%9A%8C&sort=title&page=1&size=7
board_search_exp_011,normal,?keyword=%EA%B5%90%EB%82%B4%20%EC%9E%A5%ED%84%B0&sort=oldest&page=2&size=8
board_search_exp_012,normal,?keyword=%ED%94%84%EB%A6%B0%ED%84%B0%20%EA%B3%A0%EC%9E%A5&sort=latest&page=0&size=5
board_search_exp_013,normal,?keyword=%EB%8F%84%EC%84%9C%EA%B4%80%20%EC%A2%8C%EC%84%9D&sort=title&page=1&size=6
board_search_exp_014,normal,?keyword=%EC%A1%B8%EC%97%85%20%EC%9A%94%EA%B1%B4&sort=oldest&page=2&size=7
board_search_exp_015,normal,?keyword=%EA%B3%84%EC%A0%88%ED%95%99%EA%B8%B0&sort=latest&page=0&size=8
board_search_exp_016,normal,?keyword=%ED%95%99%EC%83%9D%ED%9A%8C&sort=title&page=1&size=5
board_search_exp_017,normal,?keyword=%EB%A9%98%ED%86%A0%EB%A7%81&sort=oldest&page=2&size=6
