entry_id,entry_type,issue_type,case_class,method,target,payload_template,observed_off,observed_on,expected_code,expected_reason,recommendation,notes,source
public_post_001,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""도서관 좌석 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-01-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_002,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""기숙사 점검 요청 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-02-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_003,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""수강정정 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-03-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_004,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""장학금 상담 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-04-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_005,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""교환학생 일정 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-05-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_006,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""취업지원센터 안내 요청 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-06-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_007,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""졸업요건 확인 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-07-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_008,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""캠퍼스 네트워크 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-08-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_009,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""학생회 공지 확인 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-09-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
public_post_010,needs_update,false_positive,normal,POST,/api/public/support-requests,"{""category"":""PORTAL"",""subject"":""장비 대여 문의 ${mixed500_v2_run_id}"",""message"":""정상 문의입니다. 담당 부서 확인 부탁드립니다."",""contactEmail"":""portal-normal-10-${__UUID()}@campus.local"",""referenceUrl"":""http://www.kj.ac.kr/support-center""}",403,403,201,normal_or_ambiguous_public_support_request,review_and_relax_blocking_policy,"public support request should be created, not blocked",public-post-mixed-v2-50.csv + V2 on/off JTL
