case_id,case_class,raw_path
url_typo_001,public-announcements-segment-transpose,/api/public/annuoncements
url_typo_002,public-announcements-segment-drop,/api/public/annuncements
url_typo_003,public-announcements-segment-singular,/api/public/announcement
url_typo_004,public-announcements-api-double-slash,/api//public/announcements
url_typo_005,public-announcements-before-last-double-slash,/api/public//announcements
url_typo_006,public-announcements-api-uppercase,/API/public/announcements
url_typo_007,public-announcements-middle-titlecase,/api/Public/announcements
url_typo_008,public-announcements-last-titlecase,/api/public/Announcements
url_typo_009,public-announcements-append-slash,/api/public/announcements/
url_typo_010,public-announcements-append-double-slash,/api/public/announcements//
url_typo_011,public-announcements-append-dot-segment,/api/public/announcements/..;/
url_typo_012,public-announcements-append-dot-semicolon,/api/public/announcements/.;/
url_typo_013,public-announcements-append-encoded-dot-segment,/api/public/announcements/%2e%2e;/
url_typo_014,public-announcements-append-encoded-dot,/api/public/announcements/%2e/
url_typo_015,public-announcements-append-space-encoded,/api/public/announcements%20
url_typo_016,public-announcements-append-json-ext,/api/public/announcements.json
url_typo_017,public-announcements-append-semicolon,/api/public/announcements;
url_typo_018,public-announcements-append-encoded-parent,/api/public/announcements..%2f
url_typo_019,public-announcements-api-letter-swap,/aip/public/announcements
url_typo_020,public-announcements-api-digit-sub,/ap1/public/announcements
url_typo_021,public-announcements-query-keyword-typo,/api/public/announcements?keywrod=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&size=5
url_typo_022,public-announcements-query-sort-typo,/api/public/announcements?keyword=union%20select&sort=latset&size=5
url_typo_023,public-announcements-query-size-typo,/api/public/announcements?keyword=script%20%ED%83%9C%EA%B7%B8&siize=5&sort=latest
url_typo_024,public-announcements-query-attack-union,/api/public/announcements?keyword=union%20select%20password%20from%20users--&sort=latest&size=5
url_typo_025,public-announcements-query-attack-dotdot,/api/public/announcements?keyword=..%2Fadmin&sort=latest&size=5
url_typo_026,public-events-segment-transpose,/api/public/acaedmic-events
url_typo_027,public-events-segment-drop,/api/public/acaemic-events
url_typo_028,public-events-segment-singular,/api/public/academic-event
url_typo_029,public-events-api-double-slash,/api//public/academic-events
url_typo_030,public-events-before-last-double-slash,/api/public//academic-events
url_typo_031,public-events-api-uppercase,/API/public/academic-events
url_typo_032,public-events-middle-titlecase,/api/Public/academic-events
url_typo_033,public-events-last-titlecase,/api/public/Academic-events
url_typo_034,public-events-append-slash,/api/public/academic-events/
url_typo_035,public-events-append-double-slash,/api/public/academic-events//
url_typo_036,public-events-append-dot-segment,/api/public/academic-events/..;/
url_typo_037,public-events-append-dot-semicolon,/api/public/academic-events/.;/
url_typo_038,public-events-append-encoded-dot-segment,/api/public/academic-events/%2e%2e;/
url_typo_039,public-events-append-encoded-dot,/api/public/academic-events/%2e/
url_typo_040,public-events-append-space-encoded,/api/public/academic-events%20
url_typo_041,public-events-append-json-ext,/api/public/academic-events.json
url_typo_042,public-events-append-semicolon,/api/public/academic-events;
url_typo_043,public-events-append-encoded-parent,/api/public/academic-events..%2f
url_typo_044,public-events-api-letter-swap,/aip/public/academic-events
url_typo_045,public-events-api-digit-sub,/ap1/public/academic-events
url_typo_046,public-events-query-keyword-typo,/api/public/academic-events?keywrod=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&size=5
url_typo_047,public-events-query-sort-typo,/api/public/academic-events?keyword=union%20select&sort=latset&size=5
url_typo_048,public-events-query-size-typo,/api/public/academic-events?keyword=script%20%ED%83%9C%EA%B7%B8&siize=5&sort=latest
url_typo_049,public-events-query-attack-union,/api/public/academic-events?keyword=union%20select%20password%20from%20users--&sort=latest&size=5
url_typo_050,public-events-query-attack-dotdot,/api/public/academic-events?keyword=..%2Fadmin&sort=latest&size=5
url_typo_051,board-posts-segment-transpose,/api/board/posst
url_typo_052,board-posts-segment-drop,/api/board/poss
url_typo_053,board-posts-segment-singular,/api/board/post
url_typo_054,board-posts-api-double-slash,/api//board/posts
url_typo_055,board-posts-before-last-double-slash,/api/board//posts
url_typo_056,board-posts-api-uppercase,/API/board/posts
url_typo_057,board-posts-middle-titlecase,/api/Board/posts
url_typo_058,board-posts-last-titlecase,/api/board/Posts
url_typo_059,board-posts-append-slash,/api/board/posts/
url_typo_060,board-posts-append-double-slash,/api/board/posts//
url_typo_061,board-posts-append-dot-segment,/api/board/posts/..;/
url_typo_062,board-posts-append-dot-semicolon,/api/board/posts/.;/
url_typo_063,board-posts-append-encoded-dot-segment,/api/board/posts/%2e%2e;/
url_typo_064,board-posts-append-encoded-dot,/api/board/posts/%2e/
url_typo_065,board-posts-append-space-encoded,/api/board/posts%20
url_typo_066,board-posts-append-json-ext,/api/board/posts.json
url_typo_067,board-posts-append-semicolon,/api/board/posts;
url_typo_068,board-posts-append-encoded-parent,/api/board/posts..%2f
url_typo_069,board-posts-api-letter-swap,/aip/board/posts
url_typo_070,board-posts-api-digit-sub,/ap1/board/posts
url_typo_071,board-posts-query-keyword-typo,/api/board/posts?keywrod=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&size=5
url_typo_072,board-posts-query-sort-typo,/api/board/posts?keyword=union%20select&sort=latset&size=5
url_typo_073,board-posts-query-size-typo,/api/board/posts?keyword=script%20%ED%83%9C%EA%B7%B8&siize=5&sort=latest
url_typo_074,board-posts-query-attack-union,/api/board/posts?keyword=union%20select%20password%20from%20users--&sort=latest&size=5
url_typo_075,board-posts-query-attack-dotdot,/api/board/posts?keyword=..%2Fadmin&sort=latest&size=5
url_typo_076,board-search-segment-transpose,/api/board/posst?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_077,board-search-segment-drop,/api/board/poss?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_078,board-search-segment-singular,/api/board/post?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_079,board-search-api-double-slash,/api//board/posts?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_080,board-search-before-last-double-slash,/api/board//posts?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_081,board-search-api-uppercase,/API/board/posts?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_082,board-search-middle-titlecase,/api/Board/posts?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_083,board-search-last-titlecase,/api/board/Posts?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_084,board-search-append-slash,/api/board/posts/?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_085,board-search-append-double-slash,/api/board/posts//?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_086,board-search-append-dot-segment,/api/board/posts/..;/?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_087,board-search-append-dot-semicolon,/api/board/posts/.;/?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_088,board-search-append-encoded-dot-segment,/api/board/posts/%2e%2e;/?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
url_typo_089,board-search-append-encoded-dot,/api/board/posts/%2e/?keyword=%EC%99%80%EC%9D%B4%ED%8C%8C%EC%9D%B4&sort=latest&size=5
