Name,IPFamily,Type,IPAddress,Description
CTAS_IP_1,IPv4,IP,111.253.194.41,피싱
CTAS_IP_2,IPv4,IP,115.55.54.234,악성코드 유포지
CTAS_IP_3,IPv4,IP,61.137.134.30,악성코드 유포지
CTAS_IP_4,IPv4,IP,119.117.253.142,악성코드 유포지
CTAS_IP_5,IPv4,IP,120.28.219.64,악성코드 유포지
CTAS_IP_6,IPv4,IP,123.10.68.23,악성코드 유포지
CTAS_IP_7,IPv4,IP,111.127.234.122,악성코드 유포지
CTAS_IP_8,IPv4,IP,113.75.27.151,악성코드 유포지
CTAS_IP_9,IPv4,IP,112.248.185.131,악성코드 유포지
CTAS_IP_10,IPv4,IP,222.141.12.152,악성코드 유포지
CTAS_IP_11,IPv4,IP,115.55.241.198,악성코드 유포지
CTAS_IP_12,IPv4,IP,182.121.168.81,악성코드 유포지
CTAS_IP_13,IPv4,IP,61.53.123.43,악성코드 유포지
CTAS_IP_14,IPv4,IP,182.113.199.138,악성코드 유포지
CTAS_IP_15,IPv4,IP,115.51.40.165,악성코드 유포지
CTAS_IP_16,IPv4,IP,112.248.113.183,악성코드 유포지
CTAS_IP_17,IPv4,IP,42.225.231.74,악성코드 유포지
CTAS_IP_18,IPv4,IP,36.232.86.115,피싱
CTAS_IP_19,IPv4,IP,111.253.213.128,피싱
CTAS_IP_20,IPv4,IP,36.232.66.173,피싱
CTAS_IP_21,IPv4,IP,36.232.92.248,피싱
CTAS_IP_22,IPv4,IP,125.231.20.248,피싱
CTAS_IP_23,IPv4,IP,61.53.81.61,악성코드 유포지
CTAS_IP_24,IPv4,IP,61.53.153.6,악성코드 유포지
CTAS_IP_25,IPv4,IP,27.215.115.228,악성코드 유포지
CTAS_IP_26,IPv4,IP,115.49.30.85,악성코드 유포지
CTAS_IP_27,IPv4,IP,110.38.199.22,악성코드 유포지
CTAS_IP_28,IPv4,IP,182.148.85.228,악성코드 유포지
CTAS_IP_29,IPv4,IP,124.72.183.249,악성코드 유포지
CTAS_IP_30,IPv4,IP,106.56.113.164,악성코드 유포지
CTAS_IP_31,IPv4,IP,117.82.134.9,악성코드 유포지
CTAS_IP_32,IPv4,IP,121.226.176.33,악성코드 유포지
CTAS_IP_33,IPv4,IP,111.173.158.227,악성코드 유포지
CTAS_IP_34,IPv4,IP,60.162.220.217,악성코드 유포지
CTAS_IP_35,IPv4,IP,60.20.51.232,악성코드 유포지
CTAS_IP_36,IPv4,IP,39.67.93.111,악성코드 유포지
CTAS_IP_37,IPv4,IP,27.189.28.125,악성코드 유포지
CTAS_IP_38,IPv4,IP,27.21.26.196,악성코드 유포지
CTAS_IP_39,IPv4,IP,223.151.251.178,악성코드 유포지
