case_id,case_class,auth_scope,request_path,request_body,capture_var
auth_post_001,attack,student,/api/board/posts,"{""title"":""<script>alert(1)</script>"",""content"":""명확한 XSS 시도 본문""}",board_post_id_01
auth_post_001,attack,student,/api/board/posts/${board_post_id_01}/comments,"{""content"":""sqli 댓글""}",board_comment_id_01
auth_post_001,normal,student,/api/board/posts/${board_post_id_01}/comments/${board_comment_id_01}/update,"{""content"":""첫 댓글입니다. 수정본""}",
auth_post_001,normal,student,/api/board/posts/${board_post_id_01}/update,"{""title"":""장학금 문의 수정 ${mixed500_run_id}"",""content"":""장학금 신청 일정을 정리한 게시글입니다. 수정본입니다.""}",
auth_post_001,normal,student,/api/board/posts/${board_post_id_01}/comments/${board_comment_id_01}/delete,,
auth_post_001,normal,student,/api/board/posts/${board_post_id_01}/delete,,
auth_post_007,normal,student,/api/board/posts,"{""title"":""도서관 이용 ${mixed500_run_id}"",""content"":""도서관 좌석 배정 관련 정상 게시글입니다.""}",board_post_id_02
auth_post_007,normal,student,/api/board/posts/${board_post_id_02}/comments,"{""content"":""참고 감사합니다.""}",board_comment_id_02
auth_post_007,normal,student,/api/board/posts/${board_post_id_02}/comments/${board_comment_id_02}/update,"{""content"":""참고 감사합니다. 수정본""}",
auth_post_007,normal,student,/api/board/posts/${board_post_id_02}/update,"{""title"":""도서관 이용 수정 ${mixed500_run_id}"",""content"":""도서관 좌석 배정 관련 정상 게시글입니다. 수정본입니다.""}",
auth_post_007,normal,student,/api/board/posts/${board_post_id_02}/comments/${board_comment_id_02}/delete,,
auth_post_007,normal,student,/api/board/posts/${board_post_id_02}/delete,,
auth_post_013,normal,student,/api/board/posts,"{""title"":""기숙사 생활 ${mixed500_run_id}"",""content"":""기숙사 점검 일정을 공유합니다.""}",board_post_id_03
auth_post_013,normal,student,/api/board/posts/${board_post_id_03}/comments,"{""content"":""확인했습니다.""}",board_comment_id_03
auth_post_013,normal,student,/api/board/posts/${board_post_id_03}/comments/${board_comment_id_03}/update,"{""content"":""확인했습니다. 수정본""}",
auth_post_013,normal,student,/api/board/posts/${board_post_id_03}/update,"{""title"":""기숙사 생활 수정 ${mixed500_run_id}"",""content"":""기숙사 점검 일정을 공유합니다. 수정본입니다.""}",
auth_post_013,normal,student,/api/board/posts/${board_post_id_03}/comments/${board_comment_id_03}/delete,,
auth_post_013,normal,student,/api/board/posts/${board_post_id_03}/delete,,
auth_post_019,normal,student,/api/board/posts,"{""title"":""세미나 공지 ${mixed500_run_id}"",""content"":""캠퍼스 세미나 참석 안내입니다.""}",board_post_id_04
auth_post_019,normal,student,/api/board/posts/${board_post_id_04}/comments,"{""content"":""일정 확인했습니다.""}",board_comment_id_04
auth_post_019,normal,student,/api/board/posts/${board_post_id_04}/comments/${board_comment_id_04}/update,"{""content"":""일정 확인했습니다. 수정본""}",
auth_post_019,normal,student,/api/board/posts/${board_post_id_04}/update,"{""title"":""세미나 공지 수정 ${mixed500_run_id}"",""content"":""캠퍼스 세미나 참석 안내입니다. 수정본입니다.""}",
auth_post_019,normal,student,/api/board/posts/${board_post_id_04}/comments/${board_comment_id_04}/delete,,
auth_post_019,normal,student,/api/board/posts/${board_post_id_04}/delete,,
auth_post_025,ambiguous,student,/api/board/posts,"{""title"":""WAF 과탐 정리 ${mixed500_run_id}"",""content"":""union select 문구가 포함된 강의자료를 정리합니다.""}",board_post_id_05
auth_post_025,ambiguous,student,/api/board/posts/${board_post_id_05}/comments,"{""content"":""cmd.exe 문자열도 같이 정리했습니다.""}",board_comment_id_05
auth_post_025,ambiguous,student,/api/board/posts/${board_post_id_05}/comments/${board_comment_id_05}/update,"{""content"":""cmd.exe 문자열도 같이 정리했습니다. 수정본""}",
auth_post_025,ambiguous,student,/api/board/posts/${board_post_id_05}/update,"{""title"":""WAF 과탐 정리 수정 ${mixed500_run_id}"",""content"":""union select 문구가 포함된 강의자료를 정리합니다. 수정본입니다.""}",
auth_post_025,ambiguous,student,/api/board/posts/${board_post_id_05}/comments/${board_comment_id_05}/delete,,
auth_post_025,ambiguous,student,/api/board/posts/${board_post_id_05}/delete,,
auth_post_031,ambiguous,student,/api/board/posts,"{""title"":""보안 실습 메모 ${mixed500_run_id}"",""content"":""../admin 경로 예시와 XSS payload 설명을 적습니다.""}",board_post_id_06
auth_post_031,ambiguous,student,/api/board/posts/${board_post_id_06}/comments,"{""content"":""whoami 예시도 메모합니다.""}",board_comment_id_06
auth_post_031,ambiguous,student,/api/board/posts/${board_post_id_06}/comments/${board_comment_id_06}/update,"{""content"":""whoami 예시도 메모합니다. 수정본""}",
auth_post_031,ambiguous,student,/api/board/posts/${board_post_id_06}/update,"{""title"":""보안 실습 메모 수정 ${mixed500_run_id}"",""content"":""../admin 경로 예시와 XSS payload 설명을 적습니다. 수정본입니다.""}",
auth_post_031,ambiguous,student,/api/board/posts/${board_post_id_06}/comments/${board_comment_id_06}/delete,,
auth_post_031,ambiguous,student,/api/board/posts/${board_post_id_06}/delete,,
auth_post_037,normal,student,/api/lms/assignments/1/submissions,"{""contentText"":""정상 제출 답안입니다.""}",submission_id_01
auth_post_037,normal,professor,/api/lms/submissions/${submission_id_01}/grade,"{""score"":71,""feedback"":""제출 확인""}",
auth_post_039,normal,student,/api/lms/assignments/1/submissions,"{""contentText"":""과제 제출 본문입니다.""}",submission_id_02
auth_post_039,normal,professor,/api/lms/submissions/${submission_id_02}/grade,"{""score"":72,""feedback"":""검토 완료""}",
auth_post_041,normal,student,/api/lms/assignments/5/submissions,"{""contentText"":""실습 결과를 제출합니다.""}",submission_id_03
auth_post_041,normal,professor,/api/lms/submissions/${submission_id_03}/grade,"{""score"":73,""feedback"":""채점 완료""}",
auth_post_043,normal,student,/api/lms/assignments/5/submissions,"{""contentText"":""리포트 요약본을 제출합니다.""}",submission_id_04
auth_post_043,normal,professor,/api/lms/submissions/${submission_id_04}/grade,"{""score"":74,""feedback"":""좋습니다.""}",
auth_post_045,ambiguous,student,/api/lms/assignments/6/submissions,"{""contentText"":""union select 예시를 포함한 보안 과제 제출입니다.""}",submission_id_05
auth_post_045,ambiguous,professor,/api/lms/submissions/${submission_id_05}/grade,"{""score"":75,""feedback"":""보안 용어 포함""}",
auth_post_047,ambiguous,student,/api/lms/assignments/6/submissions,"{""contentText"":""../admin 경로 사례를 분석한 보고서입니다.""}",submission_id_06
auth_post_047,ambiguous,professor,/api/lms/submissions/${submission_id_06}/grade,"{""score"":76,""feedback"":""경로 예시 포함""}",
auth_post_049,ambiguous,student,/api/lms/assignments/1/submissions,"{""contentText"":""cmd.exe 와 powershell 예시를 포함한 분석입니다.""}",submission_id_07
auth_post_049,ambiguous,professor,/api/lms/submissions/${submission_id_07}/grade,"{""score"":77,""feedback"":""명령어 예시 포함""}",
