case_id,case_class,query_suffix
board_search_001,benign,?keyword=wifi&sort=latest&page=0&size=5
board_search_002,benign,?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&sort=title&page=1&size=6
board_search_003,benign,?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&sort=latest&page=0&size=5
board_search_004,benign,?keyword=%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD&sort=title&page=1&size=6
board_search_005,benign,?keyword=%EA%B8%B0%EC%88%99%EC%82%AC&sort=latest&page=0&size=5
board_search_006,benign,?keyword=%EC%85%94%ED%8B%80%EB%B2%84%EC%8A%A4&sort=title&page=1&size=6
board_search_007,benign,?keyword=cafeteria&sort=latest&page=0&size=5
board_search_008,benign,?keyword=parking&sort=title&page=1&size=6
board_search_009,benign,?keyword=exam&sort=latest&page=0&size=5
board_search_010,benign,?keyword=assignment&sort=title&page=1&size=6
board_search_011,benign,?keyword=course%20registration&sort=latest&page=0&size=5
board_search_012,benign,?keyword=lecture%20room&sort=title&page=1&size=6
board_search_013,benign,?keyword=volunteer&sort=latest&page=0&size=5
board_search_014,benign,?keyword=club%20fair&sort=title&page=1&size=6
board_search_015,benign,?keyword=academic%20event&sort=latest&page=0&size=5
board_search_016,benign,?keyword=network%20maintenance&sort=title&page=1&size=6
board_search_017,benign,?keyword=dorm%20wifi&sort=latest&page=0&size=5
board_search_018,benign,?keyword=team%20project&sort=title&page=1&size=6
board_search_019,benign,?keyword=scholarship%20notice&sort=latest&page=0&size=5
board_search_020,benign,?keyword=database%20class&sort=title&page=1&size=6
board_search_021,ambiguous,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&page=0&size=6
board_search_022,ambiguous,?keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=5
board_search_023,ambiguous,?keyword=script%20%ED%83%9C%EA%B7%B8%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=5
board_search_024,ambiguous,?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
