case_id,case_class,auth_scope,raw_path
auth_search_001,normal,student,/api/board/posts?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&sort=latest&page=1&size=6
auth_search_002,normal,student,/api/board/posts?keyword=%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD&sort=title&page=0&size=7
auth_search_003,normal,student,/api/board/posts?keyword=%EA%B8%B0%EC%88%99%EC%82%AC&sort=latest&page=1&size=5
auth_search_004,normal,student,/api/board/posts?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&sort=title&page=0&size=6
auth_search_005,normal,student,/api/board/posts?keyword=%EC%84%B8%EB%AF%B8%EB%82%98&sort=latest&page=1&size=7
auth_search_006,normal,student,/api/board/posts?keyword=%EC%A1%B8%EC%97%85%20%EC%9A%94%EA%B1%B4&sort=title&page=0&size=5
auth_search_007,normal,student,/api/board/posts?keyword=%EA%B5%90%ED%99%98%ED%95%99%EC%83%9D&sort=latest&page=1&size=6
auth_search_008,normal,student,/api/board/posts?keyword=%EC%BA%A1%EC%8A%A4%ED%86%A4&sort=title&page=0&size=7
auth_search_009,normal,student,/api/board/posts?keyword=%EB%A9%98%ED%86%A0%EB%A7%81&sort=latest&page=1&size=5
auth_search_010,normal,student,/api/board/posts?keyword=%EB%8F%99%EC%95%84%EB%A6%AC&sort=title&page=0&size=6
auth_search_011,normal,student,/api/board/posts/1
auth_search_012,normal,student,/api/board/posts/2
auth_search_013,normal,student,/api/lms/courses/my
auth_search_014,normal,student,/api/lms/courses/1/assignments
auth_search_015,normal,student,/api/lms/assignments/1
auth_search_016,normal,student,/api/auth/me
auth_search_017,normal,student,/api/lms/courses/5/assignments
auth_search_018,normal,student,/api/lms/assignments/5
auth_search_019,normal,professor,/api/lms/courses/my
auth_search_020,normal,professor,/api/lms/courses/1/assignments
auth_search_021,normal,professor,/api/lms/assignments/1
auth_search_022,normal,professor,/api/lms/courses/5/assignments
auth_search_023,normal,professor,/api/lms/assignments/5
auth_search_024,normal,professor,/api/auth/me
auth_search_025,normal,admin,/api/lms/admin/users
auth_search_026,normal,admin,/api/lms/admin/courses
auth_search_027,normal,admin,/api/lms/admin/enrollments
auth_search_028,normal,admin,/api/lms/admin/students/overviews
auth_search_029,normal,admin,/api/auth/me
auth_search_030,normal,student,/api/board/posts?author=student1&sort=latest&page=0&size=6
auth_search_031,ambiguous,student,/api/board/posts?keyword=select%20%EB%AC%B8%20%EA%B0%95%EC%9D%98%EC%9E%90%EB%A3%8C&sort=latest&page=0&size=5
auth_search_032,ambiguous,student,/api/board/posts?keyword=union%20all%20select%20%EB%B3%B4%EC%95%88%EB%A9%94%EB%AA%A8&sort=title&page=0&size=5
auth_search_033,ambiguous,student,/api/board/posts?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=latest&page=1&size=5
auth_search_034,ambiguous,student,/api/board/posts?keyword=cmd.exe%20%EB%AC%B8%EC%9E%90%EC%97%B4%20%EB%B6%84%EC%84%9D&sort=title&page=0&size=6
auth_search_035,ambiguous,student,/api/board/posts?keyword=powershell%20-enc%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=6
auth_search_036,ambiguous,student,/api/board/posts?keyword=whoami%20%EA%B2%B0%EA%B3%BC%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=5
auth_search_037,ambiguous,student,/api/board/posts?keyword=XSS%20payload%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
auth_search_038,ambiguous,student,/api/board/posts?keyword=alert%20tcp%20%EB%A3%B0%20%EC%A0%95%EB%A6%AC&sort=title&page=0&size=6
auth_search_039,ambiguous,student,/api/board/post
auth_search_040,ambiguous,student,/api/board/posts/
auth_search_041,ambiguous,student,/api//board/posts
auth_search_042,ambiguous,student,/api/lms/courses/my/
auth_search_043,ambiguous,professor,/api/lms/assignments/1/
auth_search_044,ambiguous,admin,/api/lms/admin/course
auth_search_045,ambiguous,admin,/api/lms/admin/enrollments/
auth_search_046,ambiguous,admin,/api/auth/me/
auth_search_047,ambiguous,student,/api/board/posts?keyword=query%20string%20%EB%B3%B4%EC%95%88&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5
auth_search_048,ambiguous,professor,/api/board/posts?author=prof1&keyword=shellshock%20note&sort=latest&page=0&size=5
auth_search_049,attack,student,/api/board/posts?keyword=%27%20or%201%3D1--&sort=latest&page=0&size=5
auth_search_050,attack,student,/api/board/posts?keyword=%3Csvg%2Fonload%3Dalert%281%29%3E&sort=latest&page=0&size=5
