case_id,case_class,query_suffix
overblock_001,sqli-doc-v1,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&page=0&size=5
overblock_002,sqli-doc-v2,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=title&page=1&size=6
overblock_003,sqli-doc-v3,?author=student1&keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latest&page=0&size=6
overblock_004,sqli-doc-v4,?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5
overblock_005,sqli-doc-v1,?keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=5
overblock_006,sqli-doc-v2,?keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=6
overblock_007,sqli-doc-v3,?author=student2&keyword=union%20select%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=6
overblock_008,sqli-doc-v4,?keyword=union%20select%20%EC%98%88%EC%8B%9C&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5
overblock_009,sqli-doc-v1,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=5
overblock_010,sqli-doc-v2,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=title&page=1&size=6
overblock_011,sqli-doc-v3,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=6
overblock_012,sqli-doc-v4,?keyword=UNION%20ALL%20SELECT%20%EC%8B%A4%EC%8A%B5&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5
overblock_013,policy-doc-v1,?keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%A0%95%EC%B1%85&sort=latest&page=0&size=5
overblock_014,policy-doc-v2,?keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%A0%95%EC%B1%85&sort=title&page=1&size=6
overblock_015,policy-doc-v3,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%A0%95%EC%B1%85&sort=latest&page=0&size=6
overblock_016,policy-doc-v4,?keyword=drop%20table%20%EA%B8%88%EC%A7%80%20%EC%A0%95%EC%B1%85&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5
overblock_017,sqli-doc-v1,?keyword=SQL%20injection%20%EB%B3%B4%EA%B3%A0%EC%84%9C&sort=latest&page=0&size=5
overblock_018,sqli-doc-v2,?keyword=SQL%20injection%20%EB%B3%B4%EA%B3%A0%EC%84%9C&sort=title&page=1&size=6
overblock_019,sqli-doc-v3,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=SQL%20injection%20%EB%B3%B4%EA%B3%A0%EC%84%9C&sort=latest&page=0&size=6
overblock_020,sqli-doc-v4,?keyword=SQL%20injection%20%EB%B3%B4%EA%B3%A0%EC%84%9C&dateFrom=2026-03-01&dateTo=2026-04-15&sort=title&page=0&size=5
overblock_021,xss-doc-v1,?keyword=XSS%20payload%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=5
overblock_022,xss-doc-v2,?keyword=XSS%20payload%20%EC%98%88%EC%8B%9C&sort=title&page=1&size=6
overblock_023,xss-doc-v3,?author=student1&keyword=XSS%20payload%20%EC%98%88%EC%8B%9C&sort=latest&page=0&size=6
overblock_024,xss-doc-v4,?keyword=XSS%20payload%20%EC%98%88%EC%8B%9C&dateFrom=2026-03-01&dateTo=2026-03-31&sort=title&page=0&size=5
overblock_025,xss-doc-v1,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
overblock_026,xss-doc-v2,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
overblock_027,xss-doc-v3,?author=student2&keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=6
overblock_028,xss-doc-v4,?keyword=javascript%3A%20%EC%8A%A4%ED%82%B4%20%EC%84%A4%EB%AA%85&dateFrom=2026-02-15&dateTo=2026-04-01&sort=title&page=0&size=5
overblock_029,xss-doc-v1,?keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&sort=latest&page=0&size=5
overblock_030,xss-doc-v2,?keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&sort=title&page=1&size=6
overblock_031,xss-doc-v3,?author=%EA%B9%80%EB%AF%BC%EC%A7%80&keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&sort=latest&page=0&size=6
overblock_032,xss-doc-v4,?keyword=%3Cscript%3E%20%ED%95%84%ED%84%B0%EB%A7%81%20%EA%B3%BC%EC%A0%9C&dateFrom=2026-03-10&dateTo=2026-03-24&sort=title&page=0&size=5
overblock_033,xss-doc-v1,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=5
overblock_034,xss-doc-v2,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=title&page=1&size=6
overblock_035,xss-doc-v3,?author=%EA%B0%95%ED%95%B4%EB%A6%B0&keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&sort=latest&page=0&size=6
overblock_036,xss-doc-v4,?keyword=%3Cimg%20onerror%3E%20%ED%95%84%ED%84%B0%EB%A7%81&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=5
overblock_037,path-doc-v1,?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=5
overblock_038,path-doc-v2,?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=title&page=1&size=6
overblock_039,path-doc-v3,?author=%EC%9E%A5%EC%9B%90%EC%98%81&keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&sort=latest&page=0&size=6
overblock_040,path-doc-v4,?keyword=..%2Fadmin%20%EA%B2%BD%EB%A1%9C%20%EC%84%A4%EB%AA%85&dateFrom=2026-03-01&dateTo=2026-04-15&sort=title&page=0&size=5
