case_id,case_class,request_intent,http_method,request_path,content_type,request_body,auth_scope,capture_var,capture_expr,accepted_codes
route_001,normal,secure-route-normal,GET,/api/auth/me,,,student,,,200|401|403|404
route_002,normal,secure-route-normal,GET,/api/board/posts?keyword=wifi&sort=latest&page=0&size=5,,,student,,,200|401|403|404
route_003,normal,secure-route-normal,GET,/api/board/posts/1,,,student,,,200|401|403|404
route_004,normal,secure-route-normal,GET,/api/board/posts/2,,,student,,,200|401|403|404
route_005,normal,secure-route-normal,GET,/api/board/posts?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&sort=title&page=0&size=6,,,student_alt,,,200|401|403|404
route_006,normal,secure-route-normal,GET,/api/board/posts/1,,,student_alt,,,200|401|403|404
route_007,normal,secure-route-normal,GET,/api/lms/admin/users,,,admin,,,200|401|403|404
route_008,normal,secure-route-normal,GET,/api/lms/admin/courses,,,admin,,,200|401|403|404
route_009,normal,secure-route-normal,GET,/api/lms/admin/enrollments,,,admin,,,200|401|403|404
route_010,normal,secure-route-normal,GET,/api/lms/admin/students/overviews,,,admin,,,200|401|403|404
route_011,normal,secure-route-normal,GET,/api/lms/assignments/1,,,professor,,,200|401|403|404
route_012,normal,secure-route-normal,GET,/api/lms/assignments/4,,,professor,,,200|401|403|404
route_013,normal,secure-route-normal,GET,/api/lms/courses/my,,,student,,,200|401|403|404
route_014,normal,secure-route-normal,GET,/api/lms/courses/my,,,student_alt,,,200|401|403|404
route_015,normal,secure-route-normal,GET,/api/lms/courses/my,,,lms_student_a,,,200|401|403|404
route_016,normal,secure-route-normal,GET,/api/lms/courses/1/assignments,,,student,,,200|401|403|404
route_017,normal,secure-route-normal,GET,/api/lms/courses/6/assignments,,,student_alt,,,200|401|403|404
route_018,normal,secure-route-normal,GET,/api/lms/assignments/1,,,lms_student_a,,,200|401|403|404
route_019,normal,secure-route-normal,GET,/api/board/posts?author=student1&sort=latest&page=0&size=5,,,student,,,200|401|403|404
route_020,normal,secure-route-normal,GET,/api/board/posts?author=%EA%B9%80%EB%AF%BC%EC%A7%80&sort=title&page=0&size=6,,,student_alt,,,200|401|403|404
route_021,normal,secure-route-normal,GET,/api/board/posts?keyword=%EB%B3%B4%EC%95%88&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=5,,,student,,,200|401|403|404
route_022,normal,secure-route-normal,GET,/api/board/posts?keyword=%EC%A0%95%EC%83%81%20%EC%9A%94%EC%B2%AD&sort=latest&page=0&size=5,,,student_alt,,,200|401|403|404
route_023,normal,secure-route-normal,GET,/api/lms/admin/users,,,admin,,,200|401|403|404
route_024,normal,secure-route-normal,GET,/api/lms/admin/courses,,,admin,,,200|401|403|404
route_025,normal,secure-route-normal,GET,/api/lms/assignments/5,,,professor,,,200|401|403|404
route_026,normal,secure-route-normal,GET,/api/auth/me,,,student,,,200|401|403|404
route_027,normal,secure-route-normal,GET,/api/auth/me,,,student_alt,,,200|401|403|404
route_028,normal,secure-route-normal,GET,/api/board/posts/999999,,,student,,,200|401|403|404
route_029,normal,secure-route-normal,GET,/api/board/posts/999999,,,student_alt,,,200|401|403|404
route_030,normal,secure-route-normal,GET,/api/lms/assignments/2,,,lms_student_a,,,200|401|403|404
route_031,ambiguous,secure-route-typo,GET,/api/board/posst,,,student,,,200|400|401|403|404
route_032,ambiguous,secure-route-typo,GET,/api/board/posts/,,,student,,,200|400|401|403|404
route_033,ambiguous,secure-route-typo,GET,/api//board/posts,,,student,,,200|400|401|403|404
route_034,ambiguous,secure-route-typo,GET,/API/board/posts,,,student,,,200|400|401|403|404
route_035,ambiguous,secure-route-typo,GET,/api/Board/posts,,,student,,,200|400|401|403|404
route_036,ambiguous,secure-route-typo,GET,/api/board/Posts,,,student,,,200|400|401|403|404
route_037,ambiguous,secure-route-typo,GET,/api/board/posts.json,,,student,,,200|400|401|403|404
route_038,ambiguous,secure-route-typo,GET,/api/board/posts;,,,student,,,200|400|401|403|404
route_039,ambiguous,secure-route-typo,GET,/api/board/posts..%2f,,,student,,,200|400|401|403|404
route_040,ambiguous,secure-route-typo,GET,/api/board/posts?keywrod=wifi&sort=latest&size=5,,,student,,,200|400|401|403|404
route_041,ambiguous,secure-route-typo,GET,/api/board/posts?keyword=select%20%EB%AC%B8%20%EC%A0%95%EB%A6%AC&sort=latset&size=5,,,student,,,200|400|401|403|404
route_042,ambiguous,secure-route-typo,GET,/api/board/posts?keyword=script%20%ED%83%9C%EA%B7%B8%20%EC%84%A4%EB%AA%85&sort=latest&siize=5,,,student,,,200|400|401|403|404
route_043,ambiguous,secure-route-typo,GET,/api/auth/mee,,,student_alt,,,200|400|401|403|404
route_044,ambiguous,secure-route-typo,GET,/api/auth/me/,,,student_alt,,,200|400|401|403|404
