case_id,case_class,request_intent,http_method,request_path,content_type,request_body,auth_scope,capture_var,capture_expr,accepted_codes
board_001,normal,board-browse-normal,GET,/api/board/posts?keyword=wifi&sort=latest&page=0&size=5,,,student,,,200|404
board_002,normal,board-browse-normal,GET,/api/board/posts?keyword=%EB%8F%84%EC%84%9C%EA%B4%80&sort=title&page=0&size=6,,,student,,,200|404
board_003,normal,board-browse-normal,GET,/api/board/posts?keyword=%EC%9E%A5%ED%95%99%EA%B8%88&sort=latest&page=0&size=5,,,student,,,200|404
board_004,normal,board-browse-normal,GET,/api/board/posts?keyword=%EC%88%98%EA%B0%95%EC%8B%A0%EC%B2%AD&sort=title&page=0&size=6,,,student,,,200|404
board_005,normal,board-browse-normal,GET,/api/board/posts?keyword=%EA%B8%B0%EC%88%99%EC%82%AC&sort=latest&page=0&size=5,,,student,,,200|404
board_006,normal,board-browse-normal,GET,/api/board/posts?keyword=cafeteria&sort=latest&page=0&size=5,,,student,,,200|404
board_007,normal,board-browse-normal,GET,/api/board/posts?keyword=parking&sort=title&page=0&size=6,,,student,,,200|404
board_008,normal,board-browse-normal,GET,/api/board/posts?author=student1&sort=latest&page=0&size=5,,,student,,,200|404
board_009,normal,board-browse-normal,GET,/api/board/posts?author=student2&sort=title&page=0&size=6,,,student,,,200|404
board_010,normal,board-browse-normal,GET,/api/board/posts?author=%EA%B9%80%EB%AF%BC%EC%A7%80&sort=latest&page=0&size=5,,,student,,,200|404
board_011,normal,board-browse-normal,GET,/api/board/posts?author=%EA%B0%95%ED%95%B4%EB%A6%B0&sort=title&page=0&size=6,,,student,,,200|404
board_012,normal,board-browse-normal,GET,/api/board/posts?author=%EC%9E%A5%EC%9B%90%EC%98%81&sort=latest&page=0&size=5,,,student,,,200|404
board_013,normal,board-browse-normal,GET,/api/board/posts?keyword=wifi&dateFrom=2026-03-01&dateTo=2026-03-31&sort=latest&page=0&size=6,,,student,,,200|404
