case_id,case_class,request_intent,http_method,request_path,content_type,request_body,auth_scope,capture_var,capture_expr,accepted_codes
lms_001,normal,student-my-courses,GET,/api/lms/courses/my,,,student,,,200
lms_002,normal,student-course1-assignments,GET,/api/lms/courses/1/assignments,,,student,,,200|403|404
lms_003,normal,student-course2-assignments,GET,/api/lms/courses/2/assignments,,,student,,,200|403|404
lms_004,normal,student-course5-assignments,GET,/api/lms/courses/5/assignments,,,student,,,200|403|404
lms_005,normal,student-assignment1,GET,/api/lms/assignments/1,,,student,,,200|403|404
lms_006,normal,student-assignment2,GET,/api/lms/assignments/2,,,student,,,200|403|404
lms_007,normal,student-assignment3,GET,/api/lms/assignments/3,,,student,,,200|403|404
lms_008,normal,student-alt-my-courses,GET,/api/lms/courses/my,,,student_alt,,,200
lms_009,normal,student-alt-course1-assignments,GET,/api/lms/courses/1/assignments,,,student_alt,,,200|403|404
lms_010,normal,student-alt-course6-assignments,GET,/api/lms/courses/6/assignments,,,student_alt,,,200|403|404
lms_011,normal,student-alt-course7-assignments,GET,/api/lms/courses/7/assignments,,,student_alt,,,200|403|404
lms_012,normal,student-alt-assignment1,GET,/api/lms/assignments/1,,,student_alt,,,200|403|404
lms_013,normal,student-alt-assignment4,GET,/api/lms/assignments/4,,,student_alt,,,200|403|404
lms_014,normal,student-alt-assignment5,GET,/api/lms/assignments/5,,,student_alt,,,200|403|404
lms_015,normal,admin-users,GET,/api/lms/admin/users,,,admin,,,200|403
lms_016,normal,admin-courses,GET,/api/lms/admin/courses,,,admin,,,200|403
lms_017,normal,admin-enrollments,GET,/api/lms/admin/enrollments,,,admin,,,200|403
lms_018,normal,admin-overviews,GET,/api/lms/admin/students/overviews,,,admin,,,200|403
lms_019,normal,prof-assignment1,GET,/api/lms/assignments/1,,,professor,,,200|403|404
lms_020,normal,prof-assignment4,GET,/api/lms/assignments/4,,,professor,,,200|403|404
lms_021,normal,student-repeat-courses,GET,/api/lms/courses/my,,,student,,,200
lms_022,normal,student-course3-assignments,GET,/api/lms/courses/3/assignments,,,student,,,200|403|404
lms_023,normal,student-repeat-assignment1,GET,/api/lms/assignments/1,,,student,,,200|403|404
lms_024,normal,student-alt-repeat-courses,GET,/api/lms/courses/my,,,student_alt,,,200
lms_025,normal,student-alt-repeat-assignment5,GET,/api/lms/assignments/5,,,student_alt,,,200|403|404
lms_026,normal,admin-repeat-users,GET,/api/lms/admin/users,,,admin,,,200|403
lms_027,normal,admin-repeat-courses,GET,/api/lms/admin/courses,,,admin,,,200|403
lms_028,normal,admin-repeat-enrollments,GET,/api/lms/admin/enrollments,,,admin,,,200|403
lms_029,normal,admin-repeat-overviews,GET,/api/lms/admin/students/overviews,,,admin,,,200|403
lms_030,normal,prof-assignment2,GET,/api/lms/assignments/2,,,professor,,,200|403|404
lms_031,normal,prof-assignment3,GET,/api/lms/assignments/3,,,professor,,,200|403|404
lms_032,normal,prof-assignment5,GET,/api/lms/assignments/5,,,professor,,,200|403|404
lms_033,normal,lms-student-a-courses,GET,/api/lms/courses/my,,,lms_student_a,,,200
lms_034,normal,lms-student-a-course1,GET,/api/lms/courses/1/assignments,,,lms_student_a,,,200|403|404
lms_035,normal,lms-student-a-assignment1,GET,/api/lms/assignments/1,,,lms_student_a,,,200|403|404
lms_036,normal,admin-create-enrollment-course2,POST,/api/lms/admin/enrollments,application/json,"{""courseId"":2,""studentId"":""${lms_student_d_id}""}",admin,lms_dyn_enroll_1,id,201|400|403|404
lms_037,normal,admin-list-enrollments-after-create,GET,/api/lms/admin/enrollments,,,admin,,,200|403
lms_038,normal,admin-delete-enrollment-course2,DELETE,/api/lms/admin/enrollments/${lms_dyn_enroll_1},,,admin,,,204|403|404
lms_039,normal,admin-create-enrollment-course7,POST,/api/lms/admin/enrollments,application/json,"{""courseId"":7,""studentId"":""${lms_student_d_id}""}",admin,lms_dyn_enroll_2,id,201|400|403|404
lms_040,normal,admin-delete-enrollment-course7,DELETE,/api/lms/admin/enrollments/${lms_dyn_enroll_2},,,admin,,,204|403|404
lms_041,normal,submit-assignment1,POST,/api/lms/assignments/1/submissions,application/json,"{""contentText"":""정상 제출 본문 ${__property(mixed500_run_id)} A-1""}",lms_student_a,lms_sub_1,id,201|400|403|404
lms_042,normal,grade-assignment1,POST,/api/lms/submissions/${lms_sub_1}/grade,application/json,"{""score"":95,""feedback"":""정상 채점 피드백입니다.""}",professor,,,200|400|403|404
lms_043,ambiguous,submit-assignment2-ambiguous,POST,/api/lms/assignments/2/submissions,application/json,"{""contentText"":""select 문, script 태그, ../admin 예시를 교육용으로 정리한 제출물입니다. ${__property(mixed500_run_id)}""}",lms_student_a,lms_sub_2,id,201|400|403|404
lms_044,ambiguous,grade-assignment2-ambiguous,POST,/api/lms/submissions/${lms_sub_2}/grade,application/json,"{""score"":88,""feedback"":""select 문과 script 태그 예시는 설명용 문맥으로 보입니다.""}",professor,,,200|400|403|404
lms_045,normal,submit-assignment3,POST,/api/lms/assignments/3/submissions,application/json,"{""contentText"":""네트워크 보안 로그 분석 과제 제출 ${__property(mixed500_run_id)} B-3""}",lms_student_b,lms_sub_3,id,201|400|403|404
lms_046,ambiguous,grade-assignment3-ambiguous,POST,/api/lms/submissions/${lms_sub_3}/grade,application/json,"{""score"":90,""feedback"":""alert tcp, cmd.exe, powershell -enc 예시는 교육용 맥락으로 확인했습니다.""}",professor,,,200|400|403|404
